State,Year,HLp,EIr,PerTscr,Dr,state_per_capita_fund,drinks_per_capita,Health_care_expenditure,age_under5,Total_population,uninsured_under18_rate,Median_household_income,under18_poverty_rate,F_income_below_poverty_rate,Per_rep_women_uninsured,Per_women_breastfed,EI,TDia,EIrd
Alaska,2009,1.7966903073286051,0,95.27027027027027,2.8368794326241136,51,660.83002,8550,54781,698473,136.37926236351433,66953,128.14770881718763,61.58559459797424,0.2499,0.845,0,30,0
Arizona,2009,1.25161894189223,1.1210152262165192,98.44638973117183,3.852809612433474,13,526.53003,5877,516587,6595778,120.15916162084478,48745,233.53695311894978,115.89878717636299,0.2197,0.721,103,354,290.96045197740114
Arkansas,2009,1.0807676086039646,0.31632222690847744,97.81353135313532,2.372416701813581,28,397.70001,6223,202311,2889450,62.34894238443208,37823,271.54788234905755,147.57473077143288,0.2576,0.66,12,90,133.33333333333334
California,2009,1.8018470865949925,1.5563164213615543,97.9825609920117,3.971023514877805,71,498.42001,6207,2749180,36961664,94.55881263580257,58931,198.8888448526982,106.07030411344243,0.2271,0.869,805,2054,391.9182083739046
Connecticut,2009,1.9708216022523677,1.177373944202713,98.9589929333097,12.336831328384951,27,501.06,8721,209369,3518288,37.72067144356897,67034,121.16501892011534,66.79617755718505,0.1083,0.826,46,482,95.43568464730289
Florida,2009,1.0629262018589074,0.7911277210182736,95.71137238870796,1.08234037906181,26,565.78003,7118,1163157,18537969,148.25654380852905,44736,213.26189911080266,107.48721069128531,0.2803,0.765,163,223,730.9417040358744
Georgia,2009,1.4712935189926923,1.2680761821152486,98.95989188667409,3.438437339966347,20,446.59,5527,744399,9829211,109.15292956564244,47590,223.33353767705205,126.97461714335378,0.2489,0.661,156,423,368.79432624113474
Hawaii,2009,3.1540594920876615,2.3927347871009843,97.4251655629139,6.688781336668661,170,550.19,6510,88446,1295178,24.539493790459257,64098,138.05198277560442,75.01143810855571,0.0831,0.849,44,123,357.7235772357724
Idaho,2009,1.9387709094188197,1.5780693448757834,99.27487578890828,23.084900130754317,80,486.20001,5668,123376,1545801,112.32459370785227,44926,181.3018014642789,99.15813642016647,0.2311,0.907,35,512,68.359375
Indiana,2009,1.541635756676558,1.054803412462908,98.53801169590643,16.772533382789316,13,455.34,6710,443811,6423113,88.45947294932301,45424,199.53732483684155,107.33158175746809,0.187,0.717,91,1447,62.88873531444368
Iowa,2009,1.661002223187591,1.1243707356962156,98.64633224098816,6.465131730253239,22,520.27002,6889,198655,3007857,45.7111814993641,48044,156.95085917553573,76.64150366671595,0.1257,0.794,44,253,173.91304347826087
Kansas,2009,1.3661529611964622,0.7909306617453203,98.13251170120188,5.656352611269564,17,446.60999,6727,204650,2818747,82.35943800888707,47817,176.18476069669865,89.81266469209243,0.1795,0.768,33,236,139.83050847457625
Kentucky,2009,1.592527645564184,0.5010199334359232,99.136111258936,19.59345811115485,46,411.53,6676,290407,4314113,63.45535996658118,40072,255.94580782219194,143.88102084298123,0.2137,0.599,28,1095,25.570776255707763
Louisiana,2009,0.8860899697780029,0.7278596180319309,97.48268575218646,29.794775233785344,43,588.53003,6929,318567,4492076,64.93727882474218,42492,242.15321180320288,132.55747414073358,0.2536,0.539,46,1883,24.42910249601699
Maine,2009,1.075268817204301,0.15360983102918588,97.50617838687936,9.5238095238095255,26,563.08002,8192,71361,1318301,56.18251737908593,45734,171.12757126844195,83.25732749071386,0.1263,0.74,2,124,16.129032258064516
Maryland,2009,0.6761420461748672,0,98.90218587609188,4.113197447563776,37,479,7518,379559,5699478,47.882887661262025,69272,115.757122622192,61.334149608245525,0.1385,0.753,0,292,0
Massachusetts,2009,2.8462617759069953,2.285027059530968,99.16780408942132,15.474042894367608,66,542.47998,9361,384902,6593587,13.850611066649426,64081,131.10327403256304,69.75402955704254,0.0474,0.82,171,1158,147.66839378238342
Michigan,2009,1.050420168067227,0.3326330532212885,97.38383244252358,5.339635854341736,22,491.66,6824,615494,9969727,45.590455494787626,45255,225.01370007696283,115.74643844615846,0.1638,0.75,38,610,62.295081967213115
Missouri,2009,1.1673700819724706,0.9108052287917078,98.27164540366094,6.568060241427527,9,540.22998,6818,404096,5987580,69.00628565862054,45229,207.11626483296675,109.15817607515996,0.1872,0.76,71,512,138.671875
Montana,2009,2.1373001624348125,1.7953321364452424,95.8456243854474,3.07771223390613,24,659.79999,6637,60924,974989,129.1677820072501,42322,214.21942740003047,99.30066966177841,0.2574,0.851,21,36,583.3333333333334
Nebraska,2009,1.5918261577758857,1.4067300929182245,99.316151329093,6.1822085662458814,38,516.20001,7104,134121,1796622,62.9251662460419,47357,152.37511253192233,84.1918395688763,0.1639,0.77,38,167,227.5449101796407
Nevada,2009,NA,NA,NA,NA,4,705.39001,5695,202314,2643085,178.00856710039872,53341,175.58614912951396,89.71491658178276,0.2825,0.802,NA,NA,NA
New Jersey,2009,1.102650130056169,0.8104949673917141,99.12281521200968,4.872394164436235,32,507.45001,7756,555018,8707740,63.50704038653525,68342,134.6174541569952,69.52202800052116,0.1613,0.805,86,517,166.34429400386847
New Mexico,2009,2.4723576677426,2.4723576677426,51.423223619155245,8.103839022045188,62,530.67999,6264,149790,2009671,114.25642581764566,43028,252.61366638929533,135.82984532879894,0.273,0.75,36,118,305.08474576271186
North Carolina,2009,1.566793427340939,1.5274267583122725,99.24207499550717,2.83440017006401,14,446.41,6454,654065,9380884,81.85278545246403,43674,225.4505107872553,119.04939231206977,0.2112,0.691,194,360,538.8888888888889
North Dakota,2009,0.7935720662632675,0.7935720662632675,98.80427325296482,3.17428826505307,21,658.20001,7707,42549,646844,56.29783829329254,47827,129.94787191384543,65.84878479483247,0.116,0.757,8,32,250
Ohio,2009,1.068284761986155,0.7477993333903085,96.472592857241,16.807680255248837,14,457.17999,7242,737279,11542645,63.588137977039246,45395,218.53764426959071,111.30240287946515,0.1564,0.664,105,2360,44.49152542372881
Oklahoma,2009,1.7657110309474084,1.348015948357699,98.20080171529784,37.17486235048415,74,433.22,6514,271982,3687050,111.7774683673836,41664,222.16328569071462,121.26211025188059,0.258,0.701,71,1958,36.26149131767109
Oregon,2009,1.6930274003118737,0.9356204054355092,98.74397835507358,13.432835820895525,16,571.97998,6502,244858,3825657,103.89137924307005,48457,191.7333193318982,98.48666199051459,0.2303,0.852,42,603,69.65174129353234
Pennsylvania,2009,1.4363585438197082,1.2280865549658506,95.5072672524367,11.3328689107375,20,508.76999,7655,743817,12604767,53.30492872091022,49520,171.34554416690472,86.1080932915122,0.1256,0.7,171,1578,108.36501901140684
Rhode Island,2009,0.6613209886748781,0.5786558650905183,98.9125102207686,3.38927006695875,49,539.28003,8343,60170,1053209,54.23039425448096,54119,168.6761530517817,85.69242837282633,0.1307,0.706,7,41,170.7317073170732
South Carolina,2009,1.1144464616324845,0.7729225459709166,96.11118789302743,20.635234483130517,25,524.21002,6338,311124,4561242,99.64672569720432,42442,244.40816311149382,128.6755733980429,0.2293,0.613,43,1148,37.45644599303136
South Dakota,2009,0.32496547241855556,0,98.61400416599903,1.1373791534649442,29,593.40002,7372,59673,812383,75.71410239958938,45043,185.16856980401772,90.36447771550313,0.188,0.726,0,14,0
Tennessee,2009,0.846262341325811,0.3643629525152797,97.6348676283265,30.38316878232252,46,408.04999,6497,422330,6296254,58.67429402470602,41725,238.56269540639417,131.00222176253317,0.1867,0.644,31,2585,11.992263056092844
Texas,2009,1.1630190546389414,0.15812978374476833,98.53708432184648,2.3311390700438426,16,508.91,5973,2065983,24782302,162.79862687252916,48259,244.26828841560433,134.24844372416945,0.3161,0.772,62,914,67.83369803063458
Utah,2009,1.3093591516828031,1.0511756569847857,98.45486237199506,3.485477178423237,30,301.60001,5099,271026,2784572,102.58346156457849,55117,121.97416935590668,78.16324768933859,0.1715,0.884,57,189,301.58730158730157
Vermont,2009,1.0681858643403952,0.8901548869503294,97.24722991689752,1.0681858643403952,77,612.39001,8464,32433,621760,31.538084470517543,51618,132.81640014815528,73.02831697450532,0.1018,0.852,5,6,833.3333333333334
Virginia,2009,0.9752311198240604,0.6468369672302441,97.5043906036231,2.059926957179393,39,465.64001,6414,525246,7882590,65.98594671866681,59330,139.3349068991888,74.64952218891965,0.1566,0.798,65,207,314.0096618357488
Washington,2009,1.4509187119743467,0.3292000438933392,91.94730941704036,4.462489483887486,36,514.52002,6805,450323,6664195,68.51689029906852,56548,162.23579199823038,80.71764093597227,0.1775,0.87,27,366,73.77049180327869
West Virginia,2009,NA,NA,NA,NA,89,402.89999,7748,107120,1819777,55.19440664641679,37435,236.0352681068698,138.68761413751147,0.2219,0.58,NA,NA,NA
Wisconsin,2009,1.2764646331264582,1.1004005457986707,97.8859383302934,6.455683202018868,10,656.56,7441,360496,5654774,50.203517400872094,49993,166.91604995554698,82.2008444990739,0.1086,0.801,75,440,170.45454545454544
Wyoming,2009,2.6847534265931894,2.260844990815317,97.80265339966832,4.380387169704677,60,606.65997,6943,39127,544270,89.5258563630559,52664,125.78294268268664,63.1260499515541,0.2033,0.837,16,31,516.1290322580645
Alaska,2010,1.8765246762994932,1.125914805779696,94.69569080408708,2.81478701444924,63,660.34998,8927,53582,713985,121.51566090731127,64576,129.07902309772282,71.85457014263223,0.2012,0.848,12,30,400
Arizona,2010,1.6843756849986733,1.2575133538688723,98.38706015891032,3.737929602325823,10,529.15002,6020,455776,6413737,127.59251772007526,46789,244.2108500798203,125.44270705515528,0.2197,0.819,109,324,336.41975308641975
